Day,Date,Platform,Content Type,Bundle,Hook / Title,Asset / File,Caption (first line),Status
1,,YouTube Shorts,Short,Bundle 1,"A Bible game?! Can you SAVE Moses?",thumbB + gameplay clip 1,"Bible games are usually boring. This one isn't 😮",To do
1,,TikTok,Short,Bundle 1,"A Bible game?! Can you SAVE Moses?",same clip vertical,"Bible games are usually boring. This one isn't 😮",To do
1,,Pinterest,Pin,Bundle 1,"20 Moses Bible printables for kids",shortC / printables pin,"Moses Bible activity pack — ages 3–12 📖",To do
1,,Etsy,Listing,Bundle 1,"Moses Bible Game + 20 Printables",coverA,"LIST IT — printables-led title",To do
2,,YouTube Shorts,Short,Bundle 1,"Pharaoh wants Moses GONE 😨",gameplay clip 2 (palace stealth),"Pick your escape route past the guards",To do
2,,TikTok,Short,Bundle 1,"Pharaoh wants Moses GONE 😨",same vertical,"Pick your escape route past the guards",To do
2,,TPT,Listing,Bundle 1,"Moses No-Prep Bundle ages 3-12",coverA (TPT framing),"LIST IT — teacher-led title",To do
3,,YouTube Shorts,Short,Bundle 1,"He just STOLE her water 😤",gameplay clip 3 (rescue),"Not on Moses' watch — beat the rude shepherds",To do
3,,Pinterest,Pin,Bundle 1,"Sunday school Moses game + activities",shortC,"Screen time that's actually from the Bible 🙌",To do
4,,Instagram Reels,Reel,Bundle 1,"Screen time my kids ASK for 🙌",parent-POV clip,"…and it's straight from Exodus 2",To do
4,,YouTube Shorts,Short,Bundle 1,"3 Bible levels. 1 epic escape 📖",fast-cut palace/desert/well,"Palace. Desert. The well of Midian.",To do
5,,YouTube Shorts,Short,Bundle 1,"Moses rescued 7 sisters at a well 👀",rescue clip,"Bible. Exodus 2:17. True story.",To do
5,,Pinterest,Pin,Bundle 1,"VBS Moses station pack — no prep",VBS cover,"Run your Moses VBS day with zero prep ⛪",To do
6,,Etsy,Listing,VBS,"Moses VBS Pack — 20 printables + games",VBS cover,"LIST VBS variant (season is now)",To do
6,,TPT,Listing,VBS,"Moses VBS & Sunday School Bundle",VBS cover,"LIST VBS variant (teacher framing)",To do
7,,YouTube Shorts,Short,Bundle 1,"Sunday school teachers — you need this 🏆",certificate + gameplay,"Kids play the story, then print a certificate",To do
7,,TikTok,Short,Bundle 1,"Sunday school teachers — you need this 🏆",same vertical,"Kids play the story, then print a certificate",To do
8,,YouTube Shorts,Short,Bundle 1,"No app. No ads. No logins. Just play ✅",add-to-home-screen clip,"Opens right on your phone",To do
8,,Pinterest,Pin,VBS,"VBS rotation station ideas — Moses",VBS pin,"No-prep Moses station for your whole age range",To do
9,,Instagram Reels,Reel,Bundle 1,"Bible verses you UNLOCK by playing 🔓",puzzle-solve clip,"satisfying + scripture-true",To do
9,,YouTube Shorts,Short,Bundle 1,"Bible verses you UNLOCK by playing 🔓",puzzle clip,"satisfying + scripture-true",To do
10,,YouTube Shorts,Short,Bundle 1,"You're not reading the story — you LIVE it",baby Moses river clip,"Step into the sandals of Moses",To do
10,,Pinterest,Pin,Bundle 1,"Homeschool Bible activities — Moses",printables pin,"One pack, ages 3–12 — homeschool Bible time sorted",To do
11,,YouTube Shorts,Short,Bundle 1,"Baby Moses on the Nile — dodge everything!",game 1 clip,"You ARE baby Moses. Reach safety.",To do
11,,TikTok,Short,Bundle 1,"Baby Moses on the Nile — dodge everything!",same vertical,"You ARE baby Moses. Reach safety.",To do
12,,Instagram Reels,Reel,Bundle 1,"POV: your kid is the Bible hero",montage,"Live the Story series 📖",To do
12,,Pinterest,Pin,VBS,"Free Bible printable (lead magnet)",freebie pin,"Grab a free Moses page → join the list",To do
13,,YouTube Shorts,Short,Bundle 1,"Bundle 1 is just the beginning 👀",end-card teaser,"Follow for Bundle 2 — be the MIRACLE WORKER",To do
13,,Email,Newsletter,Bundle 1,"New: Moses Live-the-Story bundle is live",—,"announce + free page link",To do
14,,All,Review,—,"Check analytics: which 2 Shorts won?",Metricool dashboard,"Double down on the winners next cycle",To do
